Epic,Feature/User Story,Type,Priority,Sprint,Est. Effort (PD),Acceptance Criteria,Notes
"Core Ticketing","User can submit support ticket with title, description, priority",Functional,High,1,3,"Create ticket via POST /tickets; returns 201 with ticket ID; ticket appears in database","Foundation for all ticketing workflows"
"Core Ticketing","User can view list of their tickets",Functional,High,1,2,"GET /tickets returns tickets filtered by user role; customers see own tickets, reps see assigned tickets","Role-based filtering critical for data isolation"
"Core Ticketing","User can view individual ticket details with message thread",Functional,High,1,2,"GET /tickets/{id} returns ticket with all messages; messages ordered by timestamp","Includes sender info and timestamps"
"Core Ticketing","User can add messages to ticket thread",Functional,High,1,2,"POST /tickets/{id}/messages adds message; message appears in thread immediately","Real-time updates in frontend (polling)"
"Core Ticketing","Rep can update ticket status (Open/In Progress/Resolved/Closed)",Functional,High,1,1,"PATCH /tickets/{id} updates status; status transitions validated (no skipping states)","Business logic: cannot reopen closed tickets"
"Core Ticketing","Rep can assign tickets to other representatives",Functional,Med,2,2,"POST /tickets/{id}/assign assigns ticket; assigned rep receives notification (future)","Admin can reassign any ticket; reps can request reassignment"
"Core Ticketing","User can filter tickets by status, priority, assignment",Functional,Med,2,2,"Frontend filters by status/priority/assignment; backend query params supported","Improves rep productivity for large ticket volumes"
"RAG Knowledge Base","Admin can upload documents (PDF, TXT, MD, DOCX)",Functional,High,2,3,"POST /kb/upload accepts files; returns document ID; document metadata stored in app.documents","File parsing for PDF/DOCX requires libraries (pypdf2, python-docx)"
"RAG Knowledge Base","System automatically chunks uploaded documents",Non-Functional,High,2,2,"Chunking produces 512-1024 token segments with 20% overlap; chunks stored in app.chunks with SHA-256 deduplication","Configurable chunk size via environment variables"
"RAG Knowledge Base","System generates embeddings for document chunks",Non-Functional,High,2,3,"Google text-embedding-004 generates 768-dim vectors; embeddings stored in FAISS index per organization","Requires GOOGLE_API_KEY; async processing for large documents"
"RAG Knowledge Base","System stores embeddings in FAISS vector index",Non-Functional,High,2,2,"FAISS IndexFlatIP (cosine similarity) per organization; indices saved to /data/faiss/{org_id}/kb.index","Organization-scoped isolation critical for multi-tenancy"
"RAG Knowledge Base","Admin can view knowledge base statistics (documents, chunks, citations)",Functional,Med,3,1,"GET /kb/stats returns document count, total chunks, average chunks per document","Dashboard widget for admin overview"
"RAG Knowledge Base","Admin can delete documents from knowledge base",Functional,Med,3,2,"DELETE /kb/documents/{id} removes document, chunks, and embeddings; FAISS index reindexed","Cascade deletion: document → chunks → embeddings"
"Rep Console (AI)","Rep can open AI assistant modal from ticket interface",Functional,High,3,2,"AI modal overlays ticket page; no page navigation required","UX: modal positioned prominently; keyboard shortcut (Ctrl+K)"
"Rep Console (AI)","Rep can ask AI assistant questions in natural language",Functional,High,3,3,"POST /rep/chat accepts query; returns AI response with confidence score and citations in <5s","Backend orchestrates: embedding → FAISS search → Gemini generation"
"Rep Console (AI)","System generates 7-factor confidence score for AI responses",Non-Functional,High,3,3,"Confidence score (0-100%) includes: retrieval quality (30%), citation coverage (20%), semantic coherence (20%), completeness (10%), density (10%), diversity (10%), variance penalty","Algorithm implemented in backend/app/rag.py"
"Rep Console (AI)","System displays confidence score with visual indicators (green/yellow/red)",Functional,High,3,1,"Confidence >80%: green; 60-80%: yellow; <60%: red; warning message for red scores","Frontend component with conditional styling"
"Rep Console (AI)","System provides automatic escalation recommendation when confidence <55%",Functional,High,3,2,"6-signal escalation logic: low confidence, insufficient context, high uncertainty, long conversations, complex queries, critical phrases","Backend logic in backend/app/rag.py should_escalate()"
"Rep Console (AI)","AI responses include mandatory citations to source documents",Functional,High,3,2,"Prompt engineering enforces [Source: Document X] format; citations hyperlinked to KB documents","Citation parser extracts document IDs from response text"
